Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
1,12.24769432,0.235294118,0.75,0.418208121,0.366343904,1,1,0,0.333333333,1,0,0,0.636363636,0.4,1,0.75,1,0.666666667,0.5,0.036764706,0.098360656,0,0,1,1,0.5,0.1225,0.666666667,1,1,0.75,0.75,0.25,1,0.12508859,0.833333333,0,0.064212329,0.1400982,1,1,1,1,0.356154748,0.413559322,0,0.577712288,0.333333333,0,0.666666667,0.5,0.375,0.333333333,0.666666667,0.5,1,0,0.2,0.8,0.046728972,0.666666667,0.5,0.386459803,0.666666667,1,1,0,0.111517367,0,0,0,0,0,1,1,0,0.090909091,0,0.666666667,0.75,0,0,0
2,12.10901093,0,0.75,0.495063747,0.391316766,1,1,0,0.333333333,1,0.5,0,0.5,0.2,1,0.75,0.6,0.555555556,0.875,0.227941176,0.524590164,0,0,0.4,0.3,0.25,0,0.333333333,1,0.5,0.75,0.75,1,0.666666667,0.173281361,0.833333333,0,0.121575342,0.206546645,1,1,1,1,0.503056016,0,0,0.470244508,0,0.5,0.666666667,0,0.375,0.333333333,0.333333333,0.333333333,1,0.333333333,0.6,0.8,0.289719626,0.666666667,0.5,0.324400564,0.666666667,1,1,0.347724621,0,0,0,0,0,0,1,1,0,0.363636364,0,0.666666667,0.75,0,0,0
3,12.31716669,0.235294118,0.75,0.434908997,0.4223585,1,1,0.333333333,0.333333333,1,0,0,0.636363636,0.4,1,0.75,1,0.666666667,0.5,0.051470588,0.114754098,0,0,1,1,0.5,0.10125,0.666666667,1,1,0.75,0.75,0.5,1,0.086109142,0.833333333,0,0.185787671,0.150572831,1,1,1,1,0.383441039,0.41937046,0,0.593095159,0.333333333,0,0.666666667,0.5,0.375,0.333333333,0.666666667,0.333333333,1,0.333333333,0.6,0.8,0.065420561,0.666666667,0.5,0.42877292,0.666666667,1,1,0,0.07678245,0,0,0,0,0,1,1,0,0.727272727,0,0.666666667,0.75,0,0,0
4,11.8493977,0.294117647,0.75,0.388581117,0.390294742,1,1,0.333333333,0.333333333,1,0.25,0,0.727272727,0.4,1,0.75,1,0.666666667,0.5,0.669117647,0.606557377,0,0,0.2,0.4,0.25,0,0.333333333,1,0.25,0.5,1,0.25,0.666666667,0.03827073,0.833333333,0,0.231164384,0.123731588,1,0.75,1,1,0.399941013,0.366101695,0,0.579157433,0.333333333,0,0.333333333,0,0.375,0.333333333,0.666666667,0.416666667,1,0.333333333,0.8,0.4,0.074766355,0.333333333,0.75,0.452750353,0.666666667,1,1,0,0.063985375,0.492753623,0,0,0,0,1,1,0,0.090909091,0,0.666666667,0,0,0,0
5,12.4292162,0.235294118,0.75,0.513122936,0.46876115,1,1,0.333333333,0.333333333,1,0.5,0,1,0.4,1,0.75,1,0.777777778,0.5,0.058823529,0.147540984,0,0,1,1,0.5,0.21875,0.666666667,1,1,0.75,0.75,0.75,1,0.116052445,0.833333333,0,0.209760274,0.187397709,1,1,1,1,0.466237052,0.509927361,0,0.666522882,0.333333333,0,0.666666667,0.5,0.5,0.333333333,0.666666667,0.583333333,1,0.333333333,0.6,0.8,0.074766355,0.666666667,0.75,0.589562764,0.666666667,1,1,0.22403734,0.153564899,0,0,0,0,0,1,1,0,1,0,0.666666667,0.75,0,0,0
6,11.87059991,0.176470588,0.75,0.517503342,0.466760851,1,1,0.333333333,0.333333333,1,0,0,0.409090909,0.4,1,0.75,0.2,0.444444444,0.5,0.117647059,0.245901639,0,0,1,1,0.25,0,0.333333333,1,0.75,0.75,0.75,0.25,1,0.129695252,0.833333333,0,0.02739726,0.130278232,1,1,1,1,0.328653546,0.27409201,0,0.497220246,0.333333333,0,0.333333333,0.5,0.125,0.333333333,0.333333333,0.25,1,0,0.2,0.8,0.14953271,0.333333333,0.5,0.338504937,0.666666667,1,1,0.046674446,0.054844607,0,0.62992126,0,0,0,0.5,0.5,0.04516129,0.818181818,0,0.666666667,0.75,0,0,0
7,12.63460303,0,0.75,0.471175462,0.400943491,1,1,0,0.333333333,1,0,0,0.818181818,0.4,1,0.75,0.6,0.777777778,0.5,0.022058824,0.049180328,0,0,1,1,1,0.11625,0.666666667,1,1,1,0.75,0.75,1,0.242558469,0.833333333,0,0.135702055,0.27594108,1,1,1,1,0.61446484,0,0,0.574386762,0.333333333,0,0.666666667,0,0.375,0.333333333,0.666666667,0.416666667,1,0.333333333,0.8,0.8,0.028037383,0.666666667,0.5,0.448519041,0.666666667,1,1,0.297549592,0.104204753,0,0,0,0,0,1,1,0,0.636363636,0,0.666666667,0.75,0,0,0
8,12.20607265,0.235294118,0.75,0.440312596,0.406643467,1,1,0.333333333,0.333333333,1,0.25,0,0.545454545,1,1,0.75,1,0.666666667,0.625,0.264705882,0.606557377,0,0,0.6,0.5,1,0.15,0.333333333,1,0.5,0.75,0.75,0.5,0.666666667,0.152197023,0.166666667,0.021709634,0.092465753,0.181178396,1,1,1,1,0.453464554,0.476029056,0,0.648699603,0.333333333,0,0.666666667,0.5,0.375,0.333333333,0.333333333,0.416666667,1,0.666666667,0.6,0.8,0.336448598,0.666666667,0.5,0.341325811,0.666666667,1,1,0.274212369,0.372943327,0.413043478,0,0,0,0,1,0.5,0.022580645,0.909090909,0,0.666666667,0.75,1,0,0
9,11.7745202,0.176470588,0.25,0.328426367,0.303204681,1,1,0,0.333333333,1,0,0,0.181818182,0,1,0.75,0.2,0.666666667,0.5,0.566176471,0.967213115,0,0,0.8,0.4,0.25,0,0.333333333,1,0.25,0.5,0.75,0.25,0.833333333,0,0.833333333,0,0.407534247,0.155810147,1,0.75,1,0.333333333,0.423230696,0.364164649,0,0.590710316,0,0,0.666666667,0,0.25,0.666666667,0.333333333,0.5,0.75,0.666666667,0.6,0.4,0.719626168,0.333333333,0.5,0.330042313,0.333333333,1,1,0.105017503,0,0.371376812,0,0,0,0,1,1,0,0.272727273,0,0.666666667,0,0,0,0
10,11.6784399,1,0.75,0.321096624,0.340903135,1,1,0,0.333333333,1,0.25,0,0.136363636,0,0,0,0.4,0.444444444,0.625,0.507352941,0.967213115,0,0,0.4,0.3,0.25,0,0.333333333,1,0.25,0.5,0.75,0.25,1,0.150779589,0.833333333,0,0.059931507,0.162193126,1,1,1,1,0.44306738,0,0,0.414168592,0.333333333,0,0.333333333,0,0.25,0.666666667,0.333333333,0.25,1,0.666666667,0.6,0.8,0.644859813,0.666666667,0.25,0.144569817,1,1,1,0,0.007312614,0,0,0,0,0,1,1,0,0,0,0.666666667,0.75,0,0,0
